Date,Fear Greed,SPY_Close
2012-01-12,83,129.50999450683594
2012-01-13,83,128.83999633789062
2012-01-17,88,129.33999633789062
2012-01-18,90,130.77000427246094
2012-01-19,89,131.4600067138672
2012-01-20,88,131.9499969482422
2012-01-23,87,131.61000061035156
2012-01-24,87,131.4600067138672
2012-01-25,84,132.55999755859375
2012-01-26,82,131.8800048828125
2012-01-27,82,131.82000732421875
2012-01-30,82,131.3699951171875
2012-01-31,85,131.32000732421875
2012-02-01,87,132.47000122070312
2012-02-02,88,132.67999267578125
2012-02-03,88,134.5399932861328
2012-02-06,88,134.4499969482422
2012-02-07,86,134.7899932861328
2012-02-08,86,135.19000244140625
2012-02-09,85,135.36000061035156
2012-02-10,83,134.36000061035156
2012-02-13,83,135.36000061035156
2012-02-14,81,135.19000244140625
2012-02-15,82,134.55999755859375
2012-02-16,81,136.0500030517578
2012-02-17,80,136.41000366210938
2012-02-21,79,136.47000122070312
2012-02-22,78,136.02999877929688
2012-02-23,79,136.6300048828125
2012-02-24,79,136.92999267578125
2012-02-27,75,137.16000366210938
2012-02-28,75,137.55999755859375
2012-02-29,72,137.02000427246094
2012-03-01,70,137.72999572753906
2012-03-02,68,137.30999755859375
2012-03-05,66,136.75
2012-03-06,63,134.75
2012-03-07,62,135.69000244140625
2012-03-08,63,137.0399932861328
2012-03-09,70,137.57000732421875
2012-03-12,74,137.5800018310547
2012-03-13,79,140.05999755859375
2012-03-14,79,139.91000366210938
2012-03-15,79,140.72000122070312
2012-03-16,77,140.3000030517578
2012-03-19,73,140.85000610351562
2012-03-20,73,140.44000244140625
2012-03-21,71,140.2100067138672
2012-03-22,66,139.1999969482422
2012-03-23,71,139.64999389648438
2012-03-26,66,141.61000061035156
2012-03-27,66,141.1699981689453
2012-03-28,62,140.47000122070312
2012-03-29,62,140.22999572753906
2012-03-30,63,140.80999755859375
2012-04-02,63,141.83999633789062
2012-04-03,61,141.25999450683594
2012-04-04,63,139.86000061035156
2012-04-05,55,139.7899932861328
2012-04-09,46,138.22000122070312
2012-04-10,39,135.89999389648438
2012-04-11,39,137.0
2012-04-12,38,138.7899932861328
2012-04-13,38,137.13999938964844
2012-04-16,37,137.0500030517578
2012-04-17,37,139.0800018310547
2012-04-18,36,138.61000061035156
2012-04-19,35,137.72000122070312
2012-04-20,35,137.9499969482422
2012-04-23,34,136.7899932861328
2012-04-24,34,137.30999755859375
2012-04-25,38,139.19000244140625
2012-04-26,40,140.16000366210938
2012-04-27,41,140.38999938964844
2012-04-30,43,139.8699951171875
2012-05-01,42,140.74000549316406
2012-05-02,42,140.32000732421875
2012-05-03,41,139.25
2012-05-04,41,137.0
2012-05-07,38,137.10000610351562
2012-05-08,32,136.5500030517578
2012-05-09,32,135.74000549316406
2012-05-10,32,136.02000427246094
2012-05-11,25,135.61000061035156
2012-05-14,23,134.11000061035156
2012-05-15,20,133.33999633789062
2012-05-16,14,132.8300018310547
2012-05-17,12,130.86000061035156
2012-05-18,12,129.74000549316406
2012-05-21,16,131.97000122070312
2012-05-22,15,132.1999969482422
2012-05-23,15,132.27000427246094
2012-05-24,14,132.52999877929688
2012-05-25,13,132.10000610351562
2012-05-29,14,133.6999969482422
2012-05-30,12,131.75999450683594
2012-05-31,10,131.47000122070312
2012-06-01,10,128.16000366210938
2012-06-04,14,128.10000610351562
2012-06-05,14,129.07000732421875
2012-06-06,15,131.97000122070312
2012-06-07,16,132.0500030517578
2012-06-08,19,133.10000610351562
2012-06-11,20,131.41000366210938
2012-06-12,22,132.9199981689453
2012-06-13,19,132.07000732421875
2012-06-14,27,133.47000122070312
2012-06-15,35,134.13999938964844
2012-06-18,36,134.39999389648438
2012-06-19,36,135.6999969482422
2012-06-20,36,135.47999572753906
2012-06-21,33,132.44000244140625
2012-06-22,33,133.4600067138672
2012-06-25,39,131.32000732421875
2012-06-26,41,131.97999572753906
2012-06-27,41,133.1699981689453
2012-06-28,48,132.7899932861328
2012-06-29,53,136.10000610351562
2012-07-02,56,136.50999450683594
2012-07-03,59,137.41000366210938
2012-07-05,55,136.7899932861328
2012-07-06,51,135.49000549316406
2012-07-09,46,135.32000732421875
2012-07-10,48,134.13999938964844
2012-07-11,44,134.16000366210938
2012-07-12,44,133.50999450683594
2012-07-13,45,135.75
2012-07-16,48,135.42999267578125
2012-07-17,52,136.36000061035156
2012-07-18,52,137.3699951171875
2012-07-19,51,137.72999572753906
2012-07-20,51,136.47000122070312
2012-07-23,47,135.08999633789062
2012-07-24,41,133.92999267578125
2012-07-25,51,133.9600067138672
2012-07-26,55,136.1699981689453
2012-07-27,61,138.67999267578125
2012-07-30,57,138.67999267578125
2012-07-31,55,137.7100067138672
2012-08-01,55,137.58999633789062
2012-08-02,49,136.63999938964844
2012-08-03,63,139.35000610351562
2012-08-06,71,139.6199951171875
2012-08-07,70,140.32000732421875
2012-08-08,73,140.49000549316406
2012-08-09,75,140.61000061035156
2012-08-10,70,140.83999633789062
2012-08-13,75,140.77000427246094
2012-08-14,74,140.7899932861328
2012-08-15,72,140.9499969482422
2012-08-16,78,141.99000549316406
2012-08-17,79,142.17999267578125
2012-08-20,75,142.19000244140625
2012-08-21,74,141.75999450683594
2012-08-22,74,141.82000732421875
2012-08-23,72,140.66000366210938
2012-08-24,70,141.50999450683594
2012-08-27,68,141.5399932861328
2012-08-28,68,141.39999389648438
2012-08-29,63,141.50999450683594
2012-08-30,63,140.49000549316406
2012-08-31,59,141.16000366210938
2012-09-04,71,141.02999877929688
2012-09-05,74,140.91000366210938
2012-09-06,76,143.77000427246094
2012-09-07,83,144.3300018310547
2012-09-10,78,143.50999450683594
2012-09-11,86,143.91000366210938
2012-09-12,84,144.38999938964844
2012-09-13,91,146.58999633789062
2012-09-14,93,147.24000549316406
2012-09-17,92,146.74000549316406
2012-09-18,92,146.6199951171875
2012-09-19,92,146.6999969482422
2012-09-20,93,146.7100067138672
2012-09-21,93,145.8699951171875
2012-09-24,81,145.64999389648438
2012-09-25,81,144.10000610351562
2012-09-26,70,143.2899932861328
2012-09-27,76,144.63999938964844
2012-09-28,71,143.97000122070312
2012-10-01,72,144.35000610351562
2012-10-02,75,144.5
2012-10-03,76,145.08999633789062
2012-10-04,77,146.1300048828125
2012-10-05,78,146.13999938964844
2012-10-08,72,145.63999938964844
2012-10-09,66,144.1999969482422
2012-10-10,59,143.27999877929688
2012-10-11,56,143.36000061035156
2012-10-12,56,142.88999938964844
2012-10-15,54,144.0800018310547
2012-10-16,63,145.5399932861328
2012-10-17,61,146.1999969482422
2012-10-18,53,145.82000732421875
2012-10-19,56,143.38999938964844
2012-10-22,56,143.41000366210938
2012-10-23,42,141.4199981689453
2012-10-24,45,141.02000427246094
2012-10-25,41,141.42999267578125
2012-10-26,40,141.35000610351562
2012-10-31,45,141.35000610351562
2012-11-01,50,142.8300018310547
2012-11-02,50,141.55999755859375
2012-11-05,46,141.85000610351562
2012-11-06,47,142.9600067138672
2012-11-07,45,139.72000122070312
2012-11-08,40,138.0399932861328
2012-11-09,39,138.16000366210938
2012-11-12,35,138.27000427246094
2012-11-13,37,137.7899932861328
2012-11-14,31,135.92999267578125
2012-11-15,28,135.6999969482422
2012-11-16,28,136.3699951171875
2012-11-19,38,139.1300048828125
2012-11-20,42,139.19000244140625
2012-11-21,39,139.4499969482422
2012-11-23,47,141.35000610351562
2012-11-26,47,141.0500030517578
2012-11-27,49,140.3300018310547
2012-11-28,49,141.4600067138672
2012-11-29,52,142.1199951171875
2012-11-30,50,142.14999389648438
2012-12-03,45,141.4499969482422
2012-12-04,45,141.25
2012-12-05,45,141.5
2012-12-06,45,141.97999572753906
2012-12-07,51,142.41000366210938
2012-12-10,55,142.47000122070312
2012-12-11,55,143.44000244140625
2012-12-12,58,143.50999450683594
2012-12-13,60,142.6300048828125
2012-12-14,57,142.10000610351562
2012-12-17,64,143.77000427246094
2012-12-18,67,145.3699951171875
2012-12-19,64,144.2899932861328
2012-12-20,59,145.1199951171875
2012-12-21,56,142.7899932861328
2012-12-24,51,142.35000610351562
2012-12-26,58,141.75
2012-12-27,58,141.55999755859375
2012-12-28,66,140.02999877929688
2012-12-31,66,142.41000366210938
2013-01-02,68,146.05999755859375
2013-01-03,69,145.72999572753906
2013-01-04,82,146.3699951171875
2013-01-07,82,145.97000122070312
2013-01-08,80,145.5500030517578
2013-01-09,81,145.9199981689453
2013-01-10,85,147.0800018310547
2013-01-11,85,147.07000732421875
2013-01-14,86,146.97000122070312
2013-01-15,89,147.07000732421875
2013-01-16,85,147.0500030517578
2013-01-17,86,148.0
2013-01-18,89,148.3300018310547
2013-01-22,89,149.1300048828125
2013-01-23,92,149.3699951171875
2013-01-24,92,149.41000366210938
2013-01-25,91,150.25
2013-01-28,93,150.07000732421875
2013-01-29,94,150.66000366210938
2013-01-30,93,150.07000732421875
2013-01-31,89,149.6999969482422
2013-02-01,88,151.24000549316406
2013-02-04,80,149.5399932861328
2013-02-05,88,151.0500030517578
2013-02-06,81,151.16000366210938
2013-02-07,85,150.9600067138672
2013-02-08,83,151.8000030517578
2013-02-11,82,151.77000427246094
2013-02-12,82,152.02000427246094
2013-02-13,83,152.14999389648438
2013-02-14,87,152.2899932861328
2013-02-15,84,152.11000061035156
2013-02-19,81,153.25
2013-02-20,79,151.33999633789062
2013-02-21,68,150.4199981689453
2013-02-22,78,151.88999938964844
2013-02-25,62,149.0
2013-02-26,61,150.02000427246094
2013-02-27,56,151.91000366210938
2013-02-28,61,151.61000061035156
2013-03-01,60,152.11000061035156
2013-03-04,60,152.9199981689453
2013-03-05,71,154.2899932861328
2013-03-06,69,154.5
2013-03-07,73,154.77999877929688
2013-03-08,82,155.44000244140625
2013-03-11,79,156.02999877929688
2013-03-12,77,155.67999267578125
